,parfam,countryname,per503,pervote,electionDate,partyname,environWeighted
2004-01-01,50,Belgium,3.738,13.249,2003-05-01,Christian Democratic and Flemish,49.524762
2005-01-01,50,Belgium,3.738,13.249,2003-05-01,Christian Democratic and Flemish,49.524762
2006-01-01,50,Belgium,3.738,13.249,2003-05-01,Christian Democratic and Flemish,49.524762
2007-01-01,50,Belgium,6.688,14.808,2007-06-01,Christian Democratic and Flemish,99.035904
2008-01-01,50,Belgium,6.688,14.808,2007-06-01,Christian Democratic and Flemish,99.035904
2009-01-01,50,Belgium,6.688,14.808,2007-06-01,Christian Democratic and Flemish,99.035904
2010-01-01,50,Belgium,6.2189999999999985,10.845999999999998,2010-06-01,Christian Democratic and Flemish,67.45127399999998
2011-01-01,50,Belgium,6.2189999999999985,10.845999999999998,2010-06-01,Christian Democratic and Flemish,67.45127399999998
2012-01-01,50,Belgium,6.2189999999999985,10.845999999999998,2010-06-01,Christian Democratic and Flemish,67.45127399999998
2013-01-01,50,Belgium,6.2189999999999985,10.845999999999998,2010-06-01,Christian Democratic and Flemish,67.45127399999998
2014-01-01,50,Belgium,8.851000000000003,11.61,2014-05-01,Christian Democratic and Flemish,102.76011000000004
2015-01-01,50,Belgium,8.851000000000003,11.61,2014-05-01,Christian Democratic and Flemish,102.76011000000004
2016-01-01,50,Belgium,8.851000000000003,11.61,2014-05-01,Christian Democratic and Flemish,102.76011000000004
2017-01-01,50,Belgium,8.851000000000003,11.61,2014-05-01,Christian Democratic and Flemish,102.76011000000004
2018-01-01,50,Belgium,8.851000000000003,11.61,2014-05-01,Christian Democratic and Flemish,102.76011000000004
2019-01-01,50,Belgium,18.487,8.886000000000003,2019-05-01,Christian Democratic and Flemish,164.2754820000001
2020-01-01,50,Belgium,18.487,8.886000000000003,2019-05-01,Christian Democratic and Flemish,164.2754820000001
1968-01-01,50,Belgium,2.135,11.709,1968-03-01,Christian Social Party,24.998715
1971-01-01,50,Belgium,0.0,10.379,1971-11-01,Christian Social Party,0.0
1974-01-01,50,Belgium,0.0,9.094,1974-03-01,Christian Social Party,0.0
1977-01-01,50,Belgium,0.5710000000000001,9.752,1977-04-01,Christian Social Party,5.568392000000001
1978-01-01,50,Belgium,5.539,10.131,1978-12-01,Christian Social Party,56.115609
1981-01-01,50,Belgium,1.34,7.149,1981-11-01,Christian Social Party,9.57966
1985-01-01,50,Belgium,2.902,7.952000000000001,1985-10-01,Christian Social Party,23.076704
1987-01-01,50,Belgium,0.0,8.009,1987-12-01,Christian Social Party,0.0
1991-01-01,50,Belgium,4.608000000000001,7.7360000000000015,1991-11-01,Christian Social Party,35.647488000000024
1995-01-01,50,Belgium,5.432,7.726,1995-05-01,Christian Social Party,41.967632
1999-01-01,50,Belgium,5.8820000000000014,5.879,1999-06-01,Christian Social Party,34.58027800000001
2003-01-01,50,Belgium,5.877999999999999,5.472,2003-05-01,Humanist Democratic Centre,32.164416
2007-01-01,50,Belgium,5.621,6.057,2007-06-01,Humanist Democratic Centre,34.046397000000006
2010-01-01,50,Belgium,8.092,5.522,2010-06-01,Humanist Democratic Centre,44.68402400000001
1978-01-01,70,Belgium,0.875,1.371,1978-12-01,Flemish Bloc,1.199625
1979-01-01,70,Belgium,0.875,1.371,1978-12-01,Flemish Bloc,1.199625
1980-01-01,70,Belgium,0.875,1.371,1978-12-01,Flemish Bloc,1.199625
1981-01-01,70,Belgium,0.875,1.102,1981-11-01,Flemish Bloc,0.96425
1982-01-01,70,Belgium,0.875,1.102,1981-11-01,Flemish Bloc,0.96425
1983-01-01,70,Belgium,0.875,1.102,1981-11-01,Flemish Bloc,0.96425
1984-01-01,70,Belgium,0.875,1.102,1981-11-01,Flemish Bloc,0.96425
1985-01-01,70,Belgium,0.875,1.408,1985-10-01,Flemish Bloc,1.2320000000000002
1986-01-01,70,Belgium,0.875,1.408,1985-10-01,Flemish Bloc,1.2320000000000002
1987-01-01,70,Belgium,0.875,1.896,1987-12-01,Flemish Bloc,1.6589999999999998
1988-01-01,70,Belgium,0.875,1.896,1987-12-01,Flemish Bloc,1.6589999999999998
1989-01-01,70,Belgium,0.875,1.896,1987-12-01,Flemish Bloc,1.6589999999999998
1990-01-01,70,Belgium,0.875,1.896,1987-12-01,Flemish Bloc,1.6589999999999998
1991-01-01,70,Belgium,0.875,6.576000000000001,1991-11-01,Flemish Bloc,5.754000000000001
1992-01-01,70,Belgium,0.875,6.576000000000001,1991-11-01,Flemish Bloc,5.754000000000001
1993-01-01,70,Belgium,0.875,6.576000000000001,1991-11-01,Flemish Bloc,5.754000000000001
1994-01-01,70,Belgium,0.875,6.576000000000001,1991-11-01,Flemish Bloc,5.754000000000001
1995-01-01,70,Belgium,0.8170000000000001,7.834000000000001,1995-05-01,Flemish Bloc,6.400378000000003
1996-01-01,70,Belgium,0.8170000000000001,7.834000000000001,1995-05-01,Flemish Bloc,6.400378000000003
1997-01-01,70,Belgium,0.8170000000000001,7.834000000000001,1995-05-01,Flemish Bloc,6.400378000000003
1998-01-01,70,Belgium,0.8170000000000001,7.834000000000001,1995-05-01,Flemish Bloc,6.400378000000003
1999-01-01,70,Belgium,0.8170000000000001,9.87,1999-06-01,Flemish Bloc,8.06379
2000-01-01,70,Belgium,0.8170000000000001,9.87,1999-06-01,Flemish Bloc,8.06379
2001-01-01,70,Belgium,0.8170000000000001,9.87,1999-06-01,Flemish Bloc,8.06379
2002-01-01,70,Belgium,0.8170000000000001,9.87,1999-06-01,Flemish Bloc,8.06379
2003-01-01,70,Belgium,0.8170000000000001,11.68,2003-05-01,Flemish Bloc,9.54256
2004-01-01,70,Belgium,0.8170000000000001,11.68,2003-05-01,Flemish Bloc,9.54256
2005-01-01,70,Belgium,0.8170000000000001,11.68,2003-05-01,Flemish Bloc,9.54256
2006-01-01,70,Belgium,0.8170000000000001,11.68,2003-05-01,Flemish Bloc,9.54256
2007-01-01,70,Belgium,3.0380000000000003,11.99,2007-06-01,Flemish Interest,36.42562
2008-01-01,70,Belgium,3.0380000000000003,11.99,2007-06-01,Flemish Interest,36.42562
2009-01-01,70,Belgium,3.0380000000000003,11.99,2007-06-01,Flemish Interest,36.42562
2010-01-01,70,Belgium,0.44,7.763,2010-06-01,Flemish Interest,3.41572
2011-01-01,70,Belgium,0.44,7.763,2010-06-01,Flemish Interest,3.41572
2012-01-01,70,Belgium,0.44,7.763,2010-06-01,Flemish Interest,3.41572
2013-01-01,70,Belgium,0.44,7.763,2010-06-01,Flemish Interest,3.41572
2014-01-01,70,Belgium,4.063,3.673,2014-05-01,Flemish Interest,14.923399
2015-01-01,70,Belgium,4.063,3.673,2014-05-01,Flemish Interest,14.923399
2016-01-01,70,Belgium,4.063,3.673,2014-05-01,Flemish Interest,14.923399
2017-01-01,70,Belgium,4.063,3.673,2014-05-01,Flemish Interest,14.923399
2018-01-01,70,Belgium,4.063,3.673,2014-05-01,Flemish Interest,14.923399
2019-01-01,70,Belgium,7.621,11.949000000000002,2019-05-01,Flemish Interest,91.06332900000002
2020-01-01,70,Belgium,7.621,11.949000000000002,2019-05-01,Flemish Interest,91.06332900000002
1954-01-01,90,Belgium,0.0,2.202,1954-04-01,Flemish Christian Peoples’ Union,0.0
1955-01-01,90,Belgium,0.0,2.202,1954-04-01,Flemish Christian Peoples’ Union,0.0
1956-01-01,90,Belgium,0.0,2.202,1954-04-01,Flemish Christian Peoples’ Union,0.0
1957-01-01,90,Belgium,0.0,2.202,1954-04-01,Flemish Christian Peoples’ Union,0.0
1958-01-01,90,Belgium,0.0,1.977,1958-06-01,Peoples’ Union,0.0
1959-01-01,90,Belgium,0.0,1.977,1958-06-01,Peoples’ Union,0.0
1960-01-01,90,Belgium,0.0,1.977,1958-06-01,Peoples’ Union,0.0
1961-01-01,90,Belgium,0.0,3.465,1961-03-01,Peoples’ Union,0.0
1962-01-01,90,Belgium,0.0,3.465,1961-03-01,Peoples’ Union,0.0
1963-01-01,90,Belgium,0.0,3.465,1961-03-01,Peoples’ Union,0.0
1964-01-01,90,Belgium,0.0,3.465,1961-03-01,Peoples’ Union,0.0
1965-01-01,90,Belgium,1.376,1.331,1965-05-01,Francophone Democratic Front of Francophones of Brussels,1.831456
1966-01-01,90,Belgium,1.376,1.331,1965-05-01,Francophone Democratic Front of Francophones of Brussels,1.831456
1967-01-01,90,Belgium,1.376,1.331,1965-05-01,Francophone Democratic Front of Francophones of Brussels,1.831456
1968-01-01,90,Belgium,1.2819999999999998,3.383,1968-03-01,Walloon Rally,4.337006
1969-01-01,90,Belgium,1.2819999999999998,3.383,1968-03-01,Walloon Rally,4.337006
1970-01-01,90,Belgium,1.2819999999999998,3.383,1968-03-01,Walloon Rally,4.337006
1971-01-01,90,Belgium,1.2819999999999998,6.691,1971-11-01,Walloon Rally,8.577861999999998
1972-01-01,90,Belgium,1.2819999999999998,6.691,1971-11-01,Walloon Rally,8.577861999999998
1973-01-01,90,Belgium,1.2819999999999998,6.691,1971-11-01,Walloon Rally,8.577861999999998
1974-01-01,90,Belgium,10.311,5.857,1974-03-01,Walloon Rally,60.391527
1975-01-01,90,Belgium,10.311,5.857,1974-03-01,Walloon Rally,60.391527
1976-01-01,90,Belgium,10.311,5.857,1974-03-01,Walloon Rally,60.391527
1977-01-01,90,Belgium,0.0,2.959,1977-04-01,Walloon Rally,0.0
1978-01-01,90,Belgium,1.392,2.866,1978-12-01,Walloon Rally,3.989472
1979-01-01,90,Belgium,1.392,2.866,1978-12-01,Walloon Rally,3.989472
1980-01-01,90,Belgium,1.392,2.866,1978-12-01,Walloon Rally,3.989472
1981-01-01,90,Belgium,4.69,1.711,1981-11-01,Walloon Rally,8.02459
1982-01-01,90,Belgium,4.69,1.711,1981-11-01,Walloon Rally,8.02459
1983-01-01,90,Belgium,4.69,1.711,1981-11-01,Walloon Rally,8.02459
1984-01-01,90,Belgium,4.69,1.711,1981-11-01,Walloon Rally,8.02459
1985-01-01,90,Belgium,0.924,1.193,1985-10-01,Francophone Democratic Front of Francophones,1.1023319999999999
1986-01-01,90,Belgium,0.924,1.193,1985-10-01,Francophone Democratic Front of Francophones,1.1023319999999999
1987-01-01,90,Belgium,1.133,1.162,1987-12-01,Francophone Democratic Front of Francophones,1.316546
1988-01-01,90,Belgium,1.133,1.162,1987-12-01,Francophone Democratic Front of Francophones,1.316546
1989-01-01,90,Belgium,1.133,1.162,1987-12-01,Francophone Democratic Front of Francophones,1.316546
1990-01-01,90,Belgium,1.133,1.162,1987-12-01,Francophone Democratic Front of Francophones,1.316546
1991-01-01,90,Belgium,1.342,1.474,1991-11-01,Francophone Democratic Front of Francophones,1.978108
1992-01-01,90,Belgium,1.342,1.474,1991-11-01,Francophone Democratic Front of Francophones,1.978108
1993-01-01,90,Belgium,1.342,1.474,1991-11-01,Francophone Democratic Front of Francophones,1.978108
1994-01-01,90,Belgium,1.342,1.474,1991-11-01,Francophone Democratic Front of Francophones,1.978108
1995-01-01,90,Belgium,0.8809999999999999,4.669,1995-05-01,Peoples’ Union,4.113388999999999
1996-01-01,90,Belgium,0.8809999999999999,4.669,1995-05-01,Peoples’ Union,4.113388999999999
1997-01-01,90,Belgium,0.8809999999999999,4.669,1995-05-01,Peoples’ Union,4.113388999999999
1998-01-01,90,Belgium,0.8809999999999999,4.669,1995-05-01,Peoples’ Union,4.113388999999999
1999-01-01,90,Belgium,3.686,5.561,1999-06-01,People’s Union - Complete Democracy for the 21st century,20.497846000000006
2000-01-01,90,Belgium,3.686,5.561,1999-06-01,People’s Union - Complete Democracy for the 21st century,20.497846000000006
2001-01-01,90,Belgium,3.686,5.561,1999-06-01,People’s Union - Complete Democracy for the 21st century,20.497846000000006
2002-01-01,90,Belgium,3.686,5.561,1999-06-01,People’s Union - Complete Democracy for the 21st century,20.497846000000006
2003-01-01,90,Belgium,0.909,3.064,2003-05-01,New Flemish Alliance,2.785176
2004-01-01,90,Belgium,0.909,3.064,2003-05-01,New Flemish Alliance,2.785176
2005-01-01,90,Belgium,0.909,3.064,2003-05-01,New Flemish Alliance,2.785176
2006-01-01,90,Belgium,0.909,3.064,2003-05-01,New Flemish Alliance,2.785176
2007-01-01,90,Belgium,4.826000000000001,3.702,2007-06-01,New Flemish Alliance,17.865852000000004
2008-01-01,90,Belgium,4.826000000000001,3.702,2007-06-01,New Flemish Alliance,17.865852000000004
2009-01-01,90,Belgium,4.826000000000001,3.702,2007-06-01,New Flemish Alliance,17.865852000000004
2010-01-01,90,Belgium,3.309,17.398,2010-06-01,New Flemish Alliance,57.569982
2011-01-01,90,Belgium,3.309,17.398,2010-06-01,New Flemish Alliance,57.569982
2012-01-01,90,Belgium,3.309,17.398,2010-06-01,New Flemish Alliance,57.569982
2013-01-01,90,Belgium,3.309,17.398,2010-06-01,New Flemish Alliance,57.569982
2014-01-01,90,Belgium,4.868,20.259,2014-05-01,New Flemish Alliance,98.62081200000002
2015-01-01,90,Belgium,4.868,20.259,2014-05-01,New Flemish Alliance,98.62081200000002
2016-01-01,90,Belgium,4.868,20.259,2014-05-01,New Flemish Alliance,98.62081200000002
2017-01-01,90,Belgium,4.868,20.259,2014-05-01,New Flemish Alliance,98.62081200000002
2018-01-01,90,Belgium,4.868,20.259,2014-05-01,New Flemish Alliance,98.62081200000002
2019-01-01,90,Belgium,7.79,16.028,2019-05-01,New Flemish Alliance,124.85812
2020-01-01,90,Belgium,7.79,16.028,2019-05-01,New Flemish Alliance,124.85812
1965-01-01,90,Belgium,0.27,6.434,1965-05-01,Peoples’ Union,1.7371800000000002
1968-01-01,90,Belgium,1.376,2.516,1968-03-01,Francophone Democratic Front of Francophones of Brussels,3.462016
1968-01-01,90,Belgium,1.524,9.786,1968-03-01,Peoples’ Union,14.913864000000002
1971-01-01,90,Belgium,1.024,4.541,1971-11-01,Francophone Democratic Front of Francophones of Brussels,4.649984000000001
1971-01-01,90,Belgium,5.36,11.112,1971-11-01,Peoples’ Union,59.56032
1974-01-01,90,Belgium,3.234,3.81,1974-03-01,Francophone Democratic Front of Francophones of Brussels,12.321539999999999
1974-01-01,90,Belgium,5.277,10.198,1974-03-01,Peoples’ Union,53.814845999999996
1977-01-01,90,Belgium,2.494,4.257,1977-04-01,Francophone Democratic Front of Francophones of Brussels,10.616958
1977-01-01,90,Belgium,4.545,10.04,1977-04-01,Peoples’ Union,45.6318
1978-01-01,90,Belgium,3.385,4.25,1978-12-01,Francophone Democratic Front of Francophones of Brussels,14.38625
1978-01-01,90,Belgium,3.902,7.019,1978-12-01,Peoples’ Union,27.388138
1981-01-01,90,Belgium,4.966,2.5,1981-11-01,Francophone Democratic Front of Francophones of Brussels,12.415
1981-01-01,90,Belgium,4.975000000000001,9.767000000000001,1981-11-01,Peoples’ Union,48.59082500000001
1985-01-01,90,Belgium,0.0,7.877999999999999,1985-10-01,Peoples’ Union,0.0
1987-01-01,90,Belgium,2.404,8.048,1987-12-01,Peoples’ Union,19.347392000000003
1991-01-01,90,Belgium,1.484,5.893,1991-11-01,Peoples’ Union,8.745211999999999
